S 8591 8747
V 1803035964 [6988.449000000954 2508.5999999996275]
V 1803035966 [7060.043999996036 2461.4249999988824]
V 1348537313 [-1938.4596000015736 1803.5057999994606]
V 380465790 [6927.743099994957 1659.1613999996334]
V 380465791 [6868.9241999946535 1698.2445000000298]
V 380465789 [6891.212999999523 1726.7826000005007]
V 1348615917 [229.7144999988377 3360.302999999374]
V 427163710 [7.414799999445677 3406.778699999675]
V 427163709 [184.35989999771118 3401.48399999924]
V 1346081361 [9759.108899995685 -357.3867000006139]
V 427163707 [216.87179999798536 3402.993599999696]
V 1348615683 [-3198.709200002253 3444.8849999997765]
V 427163704 [287.19029999896884 3584.4674999993294]
V 427163705 [228.97079999744892 3415.8473999984562]
V 427163687 [-515.83920000121 3777.2856000009924]
V 380465804 [7102.5347999967635 1777.5983999986202]
V 427163686 [-510.54450000077486 3794.6792999990284]
V 380465805 [6884.941500000656 1642.6112999990582]
V 1348567703 [-4543.995900001377 4590.338399998844]
V 427163684 [-501.46470000222325 3806.023500001058]
V 380465800 [6870.711299996823 1679.5187999997288]
V 427163682 [-486.34650000184774 3808.2879000008106]
V 380465801 [6963.118799999356 1662.0141000002623]
V 1104927362 [5883.854699995369 9084.683999998495]
V 427163681 [-460.6389000043273 3802.9932000003755]
V 380465802 [6881.4116999953985 1718.7573000006378]
V 1811401964 [5693.90039999783 2745.6626999992877]
V 380465803 [7068.12480000034 1674.5681999996305]
V 1346081348 [9767.589299995452 -357.4644000008702]
V 380465796 [7139.098199997097 1764.2228999994695]
V 427163694 [-430.3914000019431 3572.368499999866]
V 380465797 [6872.498399998993 1707.1577999982983]
V 380465798 [7087.383299995214 1774.9232999999076]
V 427163692 [-416.02800000086427 3542.886900000274]
V 380465799 [7133.170800000429 1693.9710000008345]
V 427163691 [-471.9831000007689 3663.8657999988645]
V 380465792 [7172.29829999432 1718.7905999999493]
V 380465793 [7019.61779999733 1662.5802000015974]
V 1346081346 [9769.997999999672 -357.9528000000864]
V 427163689 [-510.54450000077486 3753.842400001362]
V 380465794 [7160.099399998784 1749.0047999992967]
V 380465795 [7115.910299997777 1774.9232999999076]
V 427163668 [220.26839999854565 3762.4115999992937]
V 427163669 [209.31269999593496 3782.147400001064]
V 1348567717 [-4109.5974000021815 4000.2068999987096]
V 427163671 [199.0784999988973 3794.645999999717]
V 427163664 [284.0045999996364 3601.905600000173]
V 427163666 [271.90559999644756 3633.6626999992877]
V 427163676 [-178.59900000318885 3794.6792999990284]
V 427163677 [-345.6984000056982 3793.169700000435]
V 1104927421 [9328.89509999752 3431.5427999980748]
V 427163679 [-416.78280000016093 3793.169700000435]
V 427163673 [187.6232999972999 3800.8398000001907]
V 1348567720 [-2430.3561000041664 1793.493599999696]
V 427163674 [169.6634999960661 3806.411999998614]
V 427163652 [894.9707999974489 3653.331900000572]
V 427163654 [871.5275999978185 3639.7121999990195]
V 427163649 [834.8753999993205 3906.789300000295]
V 1346081384 [9746.643599998206 -358.940700000152]
V 427163650 [993.272399995476 3730.454700000584]
V 427163661 [656.7869999967515 3663.15539999865]
V 427163663 [613.6856999993324 3657.860699998215]
V 427163657 [820.112399995327 3632.907899999991]
V 427163656 [848.8391999974847 3632.907899999991]
V 427163659 [689.2988999970257 3657.860699998215]
V 1346081304 [9768.976799998432 -380.2860000003129]
V 1748427654 [6504.28919999674 2063.6787000000477]
V 427163763 [4136.736899994314 1959.8381999991834]
V 950663683 [5402.825099997222 2661.4136999994516]
V 1748427653 [6476.96099999547 2024.373599998653]
V 950663680 [4874.398499999195 5136.513900000602]
V 427163766 [4130.198999997228 1944.053999999538]
V 427163767 [4136.736899994314 1941.3455999996513]
V 427163764 [4130.198999997228 1957.1298000011593]
V 427163765 [4127.490599997342 1950.5919000003487]
V 1346081297 [9762.893999997526 -386.83500000089407]
V 427163770 [3526.6031999997795 2037.4160999991]
V 1348567753 [-3562.212000001222 1186.689900001511]
V 427163768 [4143.274799995124 1944.053999999538]
V 427163769 [3574.333199996501 2048.5715999994427]
V 1346081301 [9766.35719999671 -383.8490999992937]
V 427163774 [3546.6387000009418 2020.2332999985665]
V 427163773 [3535.993799995631 2024.2515000011772]
V 950663699 [5665.52879999578 5902.991099998355]
V 427163746 [1913.3180999979377 2742.4991999994963]
